,yr,mo,dy,date,time,mag,slat,slon,radar,radar_dist,datetime,max_dbz,mean_dbz,max_zdr,mean_zdr,min_zdr,mean_cc,min_cc,count_30dbz,count_50dbz,count_60dbz,ratio_50_30,ratio_60_50,zdr_range,sig
317,2018,6,19,2018-06-19,16:30:00,1.0,41.37,-104.45,KCYS,38.89631259167137,2018-06-19 16:30:00,68.0,38.7,4.9375,1.5,-1.9375,0.99,0.2083333283662796,17744,1716,256,0.0967032967032967,0.14909726266744322,6.875,0
318,2014,7,21,2014-07-21,18:53:00,1.0,47.94,-97.67,KMVX,53.572197635240165,2014-07-21 18:53:00,63.0,41.5,4.9375,1.8,-1.5,0.99,0.2083333283662796,12886,813,13,0.06308683169085125,0.01597051597051597,6.4375,0
319,2014,5,20,2014-05-20,18:00:00,1.75,41.8,-88.33,KLOT,30.176130339103377,2014-05-20 18:00:00,67.0,42.0,4.9375,2.3,-1.9375,0.95,0.2083333283662796,4600,890,95,0.19343620951966964,0.10662177328843996,6.875,0
320,2015,4,22,2015-04-22,17:51:00,1.25,34.84,-101.5,KAMA,46.30877295072734,2015-04-22 17:51:00,72.5,41.3,4.9375,1.3,-1.9375,0.96,0.2083333283662796,19197,4078,1230,0.21241796020418793,0.30154449620004903,6.875,0
321,2014,8,20,2014-08-20,16:08:00,1.0,34.8,-82.71,KGSP,45.91407503322044,2014-08-20 16:08:00,63.0,40.9,4.9375,2.0,-1.8125,0.98,0.2083333283662796,5467,674,17,0.1232626188734455,0.025185185185185185,6.75,0
322,2016,6,12,2016-06-12,17:00:00,1.0,36.68,-76.94,KAKQ,33.71986884615565,2016-06-12 17:00:00,64.5,40.6,4.9375,1.9,-1.9375,0.95,0.2083333283662796,3283,507,45,0.1543848964677223,0.08858267716535433,6.875,0
323,2014,7,7,2014-07-07,20:38:00,1.25,39.82,-105.11,KFTG,48.16489854949516,2014-07-07 20:38:00,65.5,43.2,4.9375,2.3,-1.9375,0.95,0.2083333283662796,4685,1207,181,0.25757575757575757,0.1498344370860927,6.875,0
324,2015,4,2,2015-04-02,21:49:00,1.0,38.52,-94.14,KEAX,31.740385944609443,2015-04-02 21:49:00,68.0,40.4,4.9375,1.7,-1.9375,0.96,0.2083333283662796,12014,1507,152,0.12542655014565127,0.10079575596816977,6.875,0
325,2020,7,4,2020-07-04,20:30:00,1.0,48.05,-106.23,KGGW,33.48323279589811,2020-07-04 20:30:00,70.0,42.8,4.9375,2.6,-1.875,0.97,0.2083333283662796,7377,1379,151,0.1869070208728653,0.10942028985507246,6.8125,0
326,2019,8,18,2019-08-18,16:47:00,1.0,43.01,-73.85,KENX,51.04643710370832,2019-08-18 16:47:00,58.0,41.0,4.75,1.2,-1.9375,0.98,0.2083333283662796,5191,613,0,0.11806625577812019,0.0,6.6875,0
